#Cluster	Sample size	Presence SNPs	Absence SNPs	Filtered presence SNPs	Filtered absence SNPs	Presence markers	Absence markers	Filtered presence markers	Filtered absence markers
L1.1	40	84	0	82	0	82	0	82	0
L1.2	724	12	0	12	0	12	0	10	0
L1	764	504	0	474	0	474	0	470	0
L2-L3-L4	5126	0	298	0	292	876	0	864	0
L1.1.1	14	208	0	208	0	208	0	208	0
L1.1.2	26	212	0	204	0	204	0	204	0
L1.2.1	520	39	0	39	0	39	0	39	0
L1.2.2	204	89	0	87	0	87	0	87	0
L1.2.1.1	302	153	0	149	0	149	0	149	0
L1.2.1.2	218	0	0	0	0	0	0	0	0
L1.2.1.2.1	17	55	0	55	0	55	0	55	0
L1.2.1.2.2	201	63	0	63	0	63	0	63	0
L1.2.1.2.2.1	32	89	0	89	0	89	0	89	0
L1.2.1.2.2.2	162	312	0	306	0	306	0	306	0
L1.2.1.2.2.2.1	53	4	0	4	0	4	0	4	0
L1.2.1.2.2.2.2	102	11	0	11	0	11	0	11	0
L1.2.1.2.2.2.1.1	37	20	0	20	0	20	0	20	0
L1.2.1.2.2.2.1.2	16	14	0	14	0	14	0	14	0
L1.2.1.2.2.2.1.1.1	16	4	0	2	0	2	0	2	0
L1.2.1.2.2.2.1.1.2	14	0	0	0	0	0	0	0	0
L1.2.1.2.2.2.2.1	74	0	0	0	0	0	0	0	0
L1.2.1.2.2.2.2.2	17	22	0	22	0	22	0	22	0
L1.2.1.2.2.2.2.1.1	12	64	0	64	0	64	0	64	0
L1.2.1.2.2.2.2.1.2	62	0	0	0	0	0	0	0	0
L1.2.2.1	63	73	0	73	0	73	0	73	0
L1.2.2.2	138	116	0	116	0	116	0	116	0
L1.2.2.1.1	14	175	0	175	0	175	0	175	0
L1.2.2.1.2	45	78	0	78	0	78	0	78	0
L1.2.2.1.2.1	12	44	0	44	0	44	0	44	0
L1.2.2.1.2.2	33	46	0	46	0	46	0	46	0
L1.2.2.2.1	46	0	0	0	0	0	0	0	0
L1.2.2.2.2	85	14	0	14	0	14	0	14	0
L1.2.2.2.1.1	19	85	0	85	0	85	0	85	0
L1.2.2.2.1.2	20	18	0	18	0	18	0	18	0
L1.2.2.2.2.1	10	70	0	70	0	70	0	70	0
L1.2.2.2.2.2	64	31	0	31	0	31	0	31	0
L1.2.2.2.2.2.1	34	6	0	6	0	6	0	6	0
L1.2.2.2.2.2.2	17	1	0	1	0	1	0	1	0
L1.2.2.2.2.2.1.1	10	31	0	31	0	31	0	31	0
L1.2.2.2.2.2.1.2	13	2	0	2	0	2	0	2	0
L2.1	14	71	0	71	0	71	0	71	0
L2.2	1088	463	0	439	0	439	0	439	0
L2	1107	406	0	384	0	384	0	384	0
L3	1080	364	0	355	0	355	0	355	0
L2-L3	2187	57	0	57	0	57	0	57	0
L4	2939	0	180	0	164	492	0	492	0
L2.2.1	12	28	0	28	0	28	0	28	0
L2.2.2	1075	460	0	436	0	436	0	436	0
L2.2.2.1	10	14	0	14	0	14	0	14	0
L2.2.2.2	1053	450	0	436	0	436	0	436	0
L2.2.2.2.1	23	0	0	0	0	0	0	0	0
L2.2.2.2.2	1023	123	0	119	0	119	0	119	0
L2.2.2.2.2.1	1004	69	0	65	0	65	0	65	0
L2.2.2.2.2.2	18	0	0	0	0	0	0	0	0
L3.1	1035	371	0	362	0	362	0	362	0
L3.2	35	148	0	148	0	148	0	146	0
L3.1.1	72	41	0	41	0	41	0	41	0
L3.1.2	953	29	0	29	0	29	0	29	0
L3.1.1.1	13	0	0	0	0	0	0	0	0
L3.1.1.2	27	2	0	2	0	2	0	2	0
L3.1.1.2.1	11	14	0	14	0	14	0	14	0
L3.1.1.2.2	15	9	0	9	0	9	0	9	0
L3.1.2.1	931	29	0	29	0	29	0	29	0
L3.1.2.2	17	0	0	0	0	0	0	0	0
L3.1.2.1.1	83	16	0	16	0	16	0	16	0
L3.1.2.1.2	848	10	0	10	0	10	0	10	0
L3.1.2.1.1.1	28	9	0	9	0	9	0	9	0
L3.1.2.1.1.2	53	0	0	0	0	0	0	0	0
L3.1.2.1.1.1.1	10	1	0	1	0	1	0	1	0
L3.1.2.1.1.1.2	10	0	0	0	0	0	0	0	0
L3.1.2.1.1.2.1	15	1	0	1	0	1	0	1	0
L3.1.2.1.1.2.2	29	4	0	4	0	4	0	4	0
L3.1.2.1.2.1	836	10	0	10	0	10	0	10	0
L3.1.2.1.2.2	12	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1	809	10	0	10	0	10	0	10	0
L3.1.2.1.2.1.2	27	6	0	6	0	6	0	6	0
L3.1.2.1.2.1.1.1	227	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2	582	8	0	8	0	8	0	8	0
L3.1.2.1.2.1.1.1.1	22	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.1.2	205	24	0	24	0	24	0	24	0
L3.1.2.1.2.1.1.1.2.1	174	1	0	1	0	1	0	1	0
L3.1.2.1.2.1.1.1.2.2	12	9	0	9	0	9	0	9	0
L3.1.2.1.2.1.1.2.1	436	1	0	1	0	1	0	1	0
L3.1.2.1.2.1.1.2.2	146	12	0	12	0	12	0	12	0
L3.1.2.1.2.1.1.2.1.1	130	14	0	14	0	14	0	14	0
L3.1.2.1.2.1.1.2.1.2	303	102	0	100	0	100	0	100	0
L3.1.2.1.2.1.1.2.1.1.1	85	12	0	12	0	12	0	12	0
L3.1.2.1.2.1.1.2.1.1.2	45	2	0	2	0	2	0	2	0
L3.1.2.1.2.1.1.2.1.1.1.1	43	3	0	3	0	3	0	3	0
L3.1.2.1.2.1.1.2.1.1.1.2	42	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.1.1.1.1	14	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.1.1.1.2	28	43	0	43	0	43	0	43	0
L3.1.2.1.2.1.1.2.1.1.1.2.1	29	5	0	5	0	5	0	5	0
L3.1.2.1.2.1.1.2.1.1.1.2.2	13	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.1.2.1	25	2	0	2	0	2	0	2	0
L3.1.2.1.2.1.1.2.1.1.2.2	13	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.1.2.1	198	4	0	4	0	4	0	4	0
L3.1.2.1.2.1.1.2.1.2.2	97	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.1.2.2.1	11	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.2.2.2	80	20	0	20	0	20	0	20	0
L3.1.2.1.2.1.1.2.1.2.2.2.1	19	5	0	5	0	5	0	5	0
L3.1.2.1.2.1.1.2.1.2.2.2.2	61	3	0	3	0	3	0	3	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.1	19	28	0	28	0	28	0	28	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.2	30	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.2.1	12	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.1.2.2.2.2.2.2	15	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.2.1	14	13	0	13	0	13	0	13	0
L3.1.2.1.2.1.1.2.2.2	130	0	0	0	0	0	0	0	0
L3.1.2.1.2.1.1.2.2.2.1	90	10	0	10	0	10	0	10	0
L3.1.2.1.2.1.1.2.2.2.2	40	3	0	3	0	3	0	3	0
L3.1.2.1.2.1.1.2.2.2.1.1	64	17	0	17	0	17	0	17	0
